宣传标语,楼盘链接,面积|m2,房型,楼盘描述,均价|元/m2,总价|万
陶然亭公园北门 黑窑厂西里南北通透三居室 诚售,http://beijing.anjuke.com/prop/view/A779615665,57,3室1厅,黑窑厂西里小区  [宣武-陶然亭 自新路],149214,57
七星长安不限购平层公寓现房出售精装修紧邻地铁成熟地段,http://beijing.anjuke.com/prop/view/A781892629,58,2室1厅,"鸿坤七星长安(新桥南大街)  [门头沟-双峪 新桥南大街,近葡萄嘴环岛]",34482,58
豪装二居+南北通透+送家电+拎包入住+急售,http://beijing.anjuke.com/prop/view/A781653379,103,2室2厅,星河皓月  [周边-燕郊 北京市正东燕郊经济技术开发区潮白河畔],31067,103
拓展室内空间 经典精致两房 实用高效 两房朝东 客厅朝西,http://beijing.anjuke.com/prop/view/A776584669,57,2室1厅,贾家花园甲1号院  [丰台-赵公口 光彩路],69787,57
天洋城4代 3室1厅 399万,http://beijing.anjuke.com/prop/view/A779718331,122,3室1厅,天洋城4代(住宅)  [周边-燕郊 迎宾南路东侧与冶金路交叉口],32704,122
空间布局合理，和谐有序，清新空气自由穿行,http://beijing.anjuke.com/prop/view/A779069701,71,2室1厅,裕龙花园四区  [顺义-顺义城 顺平路],44647,71
2150万移民出售530平，客厅南挑空，精装独栋，产权清晰,http://beijing.anjuke.com/prop/view/A777382657,530,4室2厅,莱蒙湖  [顺义-中央别墅区 天北路],40566,530
三环里顶 级豪宅   南北通透三居  带露台  紧邻地铁,http://beijing.anjuke.com/prop/view/A776437255,230,3室2厅,富力十号  [朝阳-双井 惠力路],156603,230
北京周边 燕郊 燕京航城业主靠谱出售随时看房215万可以分期,http://beijing.anjuke.com/prop/view/A775398961,69,1室1厅,燕京航城  [周边-燕郊 神威北路与燕灵路交接处],31159,69
常青藤嘉园全南一居室，采光视野无敌，落户西城,http://beijing.anjuke.com/prop/view/A775186801,64,1室1厅,常青藤  [宣武-马连道 马连道东街2号],117720,64
惠泽家园精装修2室，南北通透，好房不等人,http://beijing.anjuke.com/prop/view/A773447803,89,2室2厅,惠泽家园  [门头沟-大峪 门头沟路],39325,89
《丽京花园两居》带花园，西南向，外籍业主诚意出售，满五唯1,http://beijing.anjuke.com/prop/view/A772462489,151,2室2厅,丽京花园  [顺义-中央别墅区 首都机场路],46357,151
朝阳公园 博雅园 高层观全景GOLF 闹中取静 精美三居 高,http://beijing.anjuke.com/prop/view/A761653279,171,3室2厅,博雅园  [朝阳-朝阳公园 农展馆南路8号],84884,171
南北双通透两居室 主卧室客厅朝南 三层 不临街！！,http://beijing.anjuke.com/prop/view/A761337361,89,2室2厅,新康家园  [大兴-亦庄 北环西路],58361,89
燕郊天洋城南北正规两居 精装修,http://beijing.anjuke.com/prop/view/A750413665,86,2室1厅,天洋城  [周边-燕郊 迎宾北路],34965,86
世界名园 两居室 南北通透 诚意出售,http://beijing.anjuke.com/prop/view/A777761196,102,2室2厅,世界名园  [房山-窦店 汇丰街],27386,102
绿岛家园   96平米    南北通透的两居   高楼层,http://beijing.anjuke.com/prop/view/A776508570,96,2室1厅,绿岛家园  [门头沟-双峪 河滩路],44270,96
东方夏威夷南岸二期，精装G户型，看房方便随身签约！！,http://beijing.anjuke.com/prop/view/A774703584,88,2室1厅,夏威夷南岸二期  [周边-燕郊 燕顺路路东],34090,88
稳定出售：凤凰城B座东北三居，中高楼层，视野开阔，功能房,http://beijing.anjuke.com/prop/view/A773857452,198,3室2厅,凤凰城一期  [朝阳-三元桥 三元桥东北角],95959,198
"福成四期经典两居，南北通透,户型好，自住好房随时看房，签约",http://beijing.anjuke.com/prop/view/A772687440,89,2室1厅,福城四期  [周边-燕郊 燕郊行宫东大街],26966,89
宾阳里 学区房 交通便利 业主诚意出售,http://beijing.anjuke.com/prop/view/A772433268,58,2室1厅,宾阳里小区  [密云-宾阳 新东路],30862,58
泰禾！首付60万，分期半年买精装2居，4.8米层高，不限购,http://beijing.anjuke.com/prop/view/A732859091,59,2室2厅,北京城建•北京密码  [大兴-黄村 大兴魏善庄镇龙江路北侧200米处],50508,59
北四环外独栋、园区核心、南花园、可改5居可落户、钥匙随时看,http://beijing.anjuke.com/prop/view/A770777643,750,4室3厅,龙湖颐和原著  [海淀-圆明园 二龙闸路],117333,750
九州地产 格林云墅采光好，舒适小区，舒心的家，性价比高,http://beijing.anjuke.com/prop/view/A778622221,89,3室1厅,格林云墅  [大兴-亦庄 欣荣街],41573,89
首尔甜城一期两居精装修,http://beijing.anjuke.com/prop/view/A778068221,56,2室1厅,首尔·甜城  [周边-燕郊 燕顺路东侧],39589,56
国贸现代城3居卖 无遮挡阳光充足 满五年 格局好,http://beijing.anjuke.com/prop/view/A779545537,139,3室2厅,SOHO现代城  [朝阳-大望路 建国路88号],68394,139
东三环客厅6米挑高大复式!120平花园!临水系!智能家居系统,http://beijing.anjuke.com/prop/view/A773403859,242,3室2厅,山水文园中园  [朝阳-华威桥 弘燕路],94947,242
郭志艳专业龙湖时代天街满两年精装平层4居室,http://beijing.anjuke.com/prop/view/A777499362,171,4室1厅,龙湖时代天街  [大兴-黄村 大兴线生物医药基地站],44736,171
此房南北通透交通方便主卧朝南客客厅带阳台,http://beijing.anjuke.com/prop/view/A771636519,139,3室2厅,密东广场  [密云-宾阳 鼓楼东大街],28776,139
燕郊天子庄园 小平米开间 房本满两年 简单装修 可以正常首付,http://beijing.anjuke.com/prop/view/A763904845,50,1室1厅,天子庄园  [周边-燕郊 102国道北],23809,50
三期朗园地暖 南北通透 满五年无个税 全新房 楼层好采光好,http://beijing.anjuke.com/prop/view/A781059935,352,3室2厅,星河湾  [朝阳-朝青 四季星河路],85222,352
小区仅有出售的特大一居室玉石地暖 换房业主 85平米,http://beijing.anjuke.com/prop/view/A758017774,85,1室1厅,银河湾  [朝阳-酒仙桥 万西红街],100000,85
此房可以落户，看房方便，格局挺好的,http://beijing.anjuke.com/prop/view/A774714568,60,2室1厅,机床所小区  [密云-密云 密云机床研究所家属楼 ],17500,60
富力新城  南北通透三居室 正常首付 靠谱出售 有本有本,http://beijing.anjuke.com/prop/view/A767262573,99,3室2厅,富力新城  [周边-香河 香河京哈高速（G1）香河出口沿大香线向北一公里],21212,99
东亚首航国际 1室1厅1卫 130万,http://beijing.anjuke.com/prop/view/A779427170,39,1室1厅,东亚首航国际  [顺义-后沙峪 南法信空港物流基地内；西区:顺义后沙峪花博会主场馆西侧],33635,39
《拥金》1.2 新出房源 小区中间位置 南北通透 采光好,http://beijing.anjuke.com/prop/view/A742918922,95,2室2厅,益丰苑小区  [丰台-六里桥 西局北街26号],78947,95
京溪小区 精装修三居室  真实照片 看房方便,http://beijing.anjuke.com/prop/view/A750858925,106,3室2厅,京溪小区  [密云-密云 密关路],14150,106
金隅自由筑两室一厅一卫，我这有房卖,http://beijing.anjuke.com/prop/view/A727141675,68,2室1厅,自由筑  [通州-梨园 土桥中街],38235,68
西红门 兴海家园星苑 低楼层 生活方便,http://beijing.anjuke.com/prop/view/A774057867,77,2室2厅,兴海家园星苑  [大兴-西红门 宏福路],61038,77
国贸双井总部公寓一期 南北通透两居室 双卫,http://beijing.anjuke.com/prop/view/A768031112,116,2室1厅,CBD总部公寓一期  [朝阳-CBD 光华北一街],103448,116
Century21. 九号线北京方向精装两居室急售 随时看房,http://beijing.anjuke.com/prop/view/A777906863,83,2室1厅,北京方向  [丰台- 丰科路],77108,83
温莎郡洋房南北三居室明厨明卫全明户型3+1户型,http://beijing.anjuke.com/prop/view/A777545873,136,4室2厅,潮白河温莎郡  [周边-燕郊 国贸正东30公里潮白河东岸],26470,136
新出   南北通透两居室   地铁房   满五年   有钥匙,http://beijing.anjuke.com/prop/view/A777058861,130,2室2厅,华贸公寓  [朝阳-国贸 西大望路6号],101538,130
欢乐谷商圈 翠成馨园 正规三居  客厅向南 景观房 交通便利,http://beijing.anjuke.com/prop/view/A746188882,113,3室2厅,翠成馨园  [朝阳-垡头 后金路与垡头路交汇处],57522,113
果园北苑两广路 新华联北区新上南北两居 楼层好,http://beijing.anjuke.com/prop/view/A768364962,90,2室1厅,新华联家园北区  [通州-果园 翠屏西路],58570,90
东南北豪装四居室、三卧朝南、位置安静,http://beijing.anjuke.com/prop/view/A774938234,391,4室3厅,金茂府  [朝阳-百子湾 广渠路15号],122762,391
三面环水 一面环山 独栋送花园 送车位 来电享,http://beijing.anjuke.com/prop/view/A778800880,239,4室3厅,北京半岛  [房山-房山城关 阎吕路],37656,239
好的地段，好的环境，好的交通，好的设施，美景东方好的选择,http://beijing.anjuke.com/prop/view/A782095285,88,2室1厅,美景东方  [朝阳-华威桥 松榆南路38号],79936,88
明光村小区南北通透全明格局两居室诚意出售,http://beijing.anjuke.com/prop/view/A776799678,65,2室1厅,明光村小区  [西城-西直门 学院南路],95813,65
丰台菜户营、精装大两居、全南向丽泽商务区、丽泽桥地铁800米,http://beijing.anjuke.com/prop/view/A766415087,95,2室1厅,蓝调国际公馆  [丰台-菜户营 菜户营西街],103684,95
房山的学区房！离地铁，学校，商场近！,http://beijing.anjuke.com/prop/view/A776162621,135,3室2厅,五矿铭品  [房山- 七王坟路],51851,135
3.19新上房源 北纬路友谊医院宿舍 三室一厅两卫 诚心出售,http://beijing.anjuke.com/prop/view/A776078776,78,3室1厅,北纬路49号院  [宣武-白纸坊 北纬路49号],126451,78
鸿博家园F区 南北通透卫生间带窗280万 换房诚心卖,http://beijing.anjuke.com/prop/view/A771609684,77,2室2厅,鸿博家园  [朝阳-十八里店 鸿博西路],36363,77
5号楼，刚好看见公园里桃花樱花的位置，居住舒适度高,http://beijing.anjuke.com/prop/view/A765659003,448,4室2厅,合生霄云路8号小区  [朝阳-燕莎 霄云路8号],100486,448
珺悦国际精装修130平米大两居出售340万 有房本、随时看房,http://beijing.anjuke.com/prop/view/A772409987,103,2室2厅,珺悦国际  [大兴-黄村 天华大街],35922,103
新上 南北通透 明厨明卫 看房方便 业主诚意 朝阳公园,http://beijing.anjuke.com/prop/view/A781846487,120,2室2厅,国兴观湖国际  [朝阳-朝阳公园 东四环北路88号],99758,120
珠江摩派国际，东向大三居，紧邻永旺商场，商住两用不限购！,http://beijing.anjuke.com/prop/view/A758626700,69,3室1厅,珠江摩派  [昌平-龙泽 八达岭高速北清路出口辛庄桥西北角],34057,69
沿海赛洛城南北两居！ 大阳台！户型正！带花园，看房方便,http://beijing.anjuke.com/prop/view/A773799599,92,2室1厅,沿海赛洛城  [朝阳-百子湾 广渠东路33号],79673,92
西山壹号院新出：南北通透三居送车位，可观西山，带装修M16线,http://beijing.anjuke.com/prop/view/A777559077,181,3室2厅,西山壹号院  [海淀-马连洼 圆明园西路],115913,181
海淀西四环 全南两居室 不临街 精装修 04年,http://beijing.anjuke.com/prop/view/A766942029,97,2室1厅,景宜里  [海淀-田村 田村路],87520,97
星河三期 地暖景观房 满五唯壹 合理布局 品味奢华之选,http://beijing.anjuke.com/prop/view/A770684749,352,3室3厅,星河湾  [朝阳-朝青 四季星河路],90903,352
《收费1.2》时代风帆、地铁4+10、免税一居、业主诚心急售,http://beijing.anjuke.com/prop/view/A726862737,70,1室1厅,时代风帆  [丰台-马家堡 马家堡西路嘉园大社区],42857,70
中层南北两居满五年朝师附小人大附学府看房预约临万方阿波罗计划,http://beijing.anjuke.com/prop/view/A762887858,109,2室2厅,半岛国际公寓  [朝阳-太阳宫 太阳宫南街],99502,109
今典花园 可看西山和半个京城好房子 婚房装修 业主诚信出售,http://beijing.anjuke.com/prop/view/A765600182,79,2室1厅,今典花园  [海淀-小西天 文慧园北路9号],114635,79
新出新出 南北大三居 满五年省税 精装随时入住 诚意出售,http://beijing.anjuke.com/prop/view/A760449005,167,3室2厅,华源冠军城  [朝阳-北沙滩 大屯路66号],91497,167
天润福熙大道  北苑现房高端豪装住宅 南北通透 交通便利,http://beijing.anjuke.com/prop/view/A780527335,199,3室2厅,天润福熙大道  [朝阳-北苑 红军营东路],107989,199
兴云甲区精装修两室两厅 三层 房本满五唯一无税 南北通透,http://beijing.anjuke.com/prop/view/A774328674,93,2室2厅,兴云甲区  [密云-密云果园 密云],24193,93
高档品质，绿化率高，帝皇般的享受，不可错过，林奥嘉园！,http://beijing.anjuke.com/prop/view/A768326967,140,3室2厅,林奥嘉园  [朝阳-亚奥 清林东路],42857,140
宾阳里核心美宅，温馨2室，点击一次 幸福一生,http://beijing.anjuke.com/prop/view/A771416244,69,2室2厅,宾阳里小区  [密云-宾阳 新东路],33333,69
颐源居，西南向两居室，满五年，免个税，看房方便 采光好,http://beijing.anjuke.com/prop/view/A772220500,113,2室2厅,颐源居二期  [海淀-公主坟 西三环中路翠微路与玉渊潭南路交汇处向北200米],102964,113
GOGO新世代满5年西向带燃气地铁5号线蒲黄榆,http://beijing.anjuke.com/prop/view/A774318969,38,1室1厅,GOGO新世代  [丰台-方庄 玉蜓桥东南角],81578,38
尚、城 精装loft大两居 交通便利 紧邻地铁 给您别致生活,http://beijing.anjuke.com/prop/view/A750832800,96,2室1厅,尚城  [昌平-龙泽 京藏高速],22500,96
蓝郡国际花园婚房装修业主着急用钱106平米480万价格有的谈,http://beijing.anjuke.com/prop/view/A770308587,106,2室2厅,蓝郡国际花园  [昌平-昌平县城 西环路25号],45283,106
民水民电有燃气，环境好，紧邻城铁，买一层送一层，产权清晰！！,http://beijing.anjuke.com/prop/view/A773118119,55,2室2厅,中弘北京像素  [朝阳-常营 五里桥一街],58181,55
三面环水一面环山青龙湖心景观别墅现房 独栋 旷世之作 不容错,http://beijing.anjuke.com/prop/view/A778231354,230,5室2厅,北京半岛  [房山-房山城关 阎吕路],36521,230
新上，望京金隅丽港城，全南两居室，主卧带明卫，带使用权车位！,http://beijing.anjuke.com/prop/view/A769557004,106,2室2厅,金隅丽港城  [朝阳-望京 南湖南路],91509,106
星河湾三期全新352平3+1户型 房子保养太好了 only！,http://beijing.anjuke.com/prop/view/A777256983,352,3室2厅,星河湾  [朝阳-朝青 四季星河路],85222,352
四环内吕营嘉园两居室515万业主诚售,http://beijing.anjuke.com/prop/view/A780006395,92,2室1厅,吕营嘉园  [朝阳-十八里店 吕家营村79号],55856,92
鹿港嘉苑 两年不出的户型 业主订完了新房 不差钱 就差名额急,http://beijing.anjuke.com/prop/view/A778721404,194,4室2厅,鹿港嘉苑  [朝阳-望京 望京西路50号],90317,194
西坝河北里 三居 南北通透 看房随时,http://beijing.anjuke.com/prop/view/A775038875,100,3室1厅,西坝河北里  [朝阳-西坝河 西坝河路168号],80000,100
《新出C户型、还没放到市场上的好房》100平实用花园~！,http://beijing.anjuke.com/prop/view/A770184580,249,4室2厅,裕京花园  [顺义-中央别墅区 榆阳路7号],72289,249
招商地产实力筑造  邻近万达带装修复式公寓 买一层送一层,http://guangzhou.anjuke.com/prop/view/A782206286,49,2室2厅,招商城市主场  [番禺-华南 兴南大道],28367,49
凤凰城凤馨苑 格局方正 视野好 带,http://guangzhou.anjuke.com/prop/view/A779258182,97,3室2厅,碧桂园凤凰城凤馨苑  [增城-广园东 凤凰城大道],24742,97
《半岛专家》 时尚温馨3房 欧式装修 婚房 急售195万,http://guangzhou.anjuke.com/prop/view/A781838040,94,3室2厅,锦绣半岛  [番禺-南浦 环岛西路121号],20744,94
雅宝新城 成熟小区 人气旺 业主急售 看房方便,http://guangzhou.anjuke.com/prop/view/A781968950,141,3室2厅,雅宝新城  [花都-旧区 花都大道中131号],9929,141
龙口西 花园式小区 东南向两房 新装修 带省/级/学/位,http://guangzhou.anjuke.com/prop/view/A781888672,83,2室1厅,龙口花苑  [天河-天河北 龙口西路],45783,83
锦绣半岛江景4房 品质装修 优质户型,http://guangzhou.anjuke.com/prop/view/A781704138,210,4室2厅,锦绣半岛  [番禺-南浦 环岛西路121号],19904,210
三水御江南，样板房出售，带装修，首付20万起，南站旁交通方便,http://guangzhou.anjuke.com/prop/view/A779170660,115,3室2厅,御江南  [广州周边-广州周边 金泉大道3号],9130,115
天河公园 东方新世界二期 正南大气 豪装三房 高质量生活享受,http://guangzhou.anjuke.com/prop/view/A778077848,118,3室2厅,东方新世界  [天河-天河公园 中山大道西158号],59322,118
店长，凤乐雅轩超值价，您还等什么呢！赶快行动起来吧！,http://guangzhou.anjuke.com/prop/view/A739009689,93,2室2厅,凤乐雅轩  [海珠-工业大道北 凤安街85号],32150,93
荷景花园 精装三房 带装修 家私齐全,http://guangzhou.anjuke.com/prop/view/A754640815,85,3室2厅,荷景花园  [番禺-市桥南 中华大道],12705,85
凯蓝滨江名门 一线江景 一层商铺 二层车位 三层商品住宅,http://guangzhou.anjuke.com/prop/view/A772081685,81,3室2厅,凯蓝滨江名门  [广州周边-广州周边 东堤路和乐善北路交界],17901,81
珠江新城 员村 跑马地花园 温馨两房 安静望花园 21号线旁,http://guangzhou.anjuke.com/prop/view/A782011655,67,2室2厅,跑马地花园  [天河-员村 黄埔大道西868号],48507,67
广州南沙4号线地铁口86万买带精装修3房距 离天河叁拾,http://guangzhou.anjuke.com/prop/view/A764551544,45,3室2厅,"麒麟广场(黄阁大道南)  [南沙-南沙 黄阁大道南,近宝田街]",10000,45
金碧雅苑 南向三房 精装修 双地铁 望花园,http://guangzhou.anjuke.com/prop/view/A750968131,86,3室2厅,金碧雅苑  [白云-白云大道 尖彭路],32558,86
学位房 三房 悦涛雅苑 格局方正 业主要换房 急售,http://guangzhou.anjuke.com/prop/view/A772897723,78,3室2厅,悦涛雅苑  [黄埔-黄埔区府 丰乐南路28号],30641,78
时代长岛 金州商圈 地铁盘 成熟配套 纯南向望山景,http://guangzhou.anjuke.com/prop/view/A767708538,84,3室2厅,时代长岛  [南沙-南沙 进港大道377号],17380,84
人盛巴厘天地  74方两房 地铁口 背靠流溪河 来电有折扣,http://guangzhou.anjuke.com/prop/view/A781719678,74,2室2厅,人盛巴厘天地  [从化-从化 广从北路263号],10540,74
合景天峻 知识城14号线地铁口 全新加推复式,http://guangzhou.anjuke.com/prop/view/A775825678,42,2室2厅,合景天峻  [黄埔-黄埔区府 九龙大道],14285,42
7米高中空客厅，送7米高空中花园，只此这一套！买到就是赚到！,http://guangzhou.anjuke.com/prop/view/A776314504,118,3室2厅,南沙境界  [南沙-南沙 凤凰大道],13135,118
时代长岛  106平   急卖150万  高楼层   看山景,http://guangzhou.anjuke.com/prop/view/A782031561,106,4室2厅,时代长岛  [南沙-南沙 进港大道377号],14905,106
中怡城市花园 两房 双学位 采光好 格局棒,http://guangzhou.anjuke.com/prop/view/A781758398,69,2室2厅,中怡城市花园  [天河-天河北 林和街39号],59351,69
省级对面 精装修3室只要118万元，买的不是便宜，是非常便宜,http://guangzhou.anjuke.com/prop/view/A773673616,105,3室2厅,莲芳园  [番禺-大石 朝阳东路],11238,105
佳信花园 三期精装两房 业主诚意出售 真实图片 已改三房,http://guangzhou.anjuke.com/prop/view/A775660757,90,2室1厅,佳信花园  [海珠-赤岗 新港中路485号],48888,90
春鸿居 温馨一房两厅 东南向光线充足 好楼层 安静可改两房,http://guangzhou.anjuke.com/prop/view/A777930387,46,1室2厅,春鸿居  [白云-白云大道 白云大道北],15652,46
芳村西朗地铁口 金道花园 无税 精装修 东南向 普通住宅,http://guangzhou.anjuke.com/prop/view/A782063436,48,2室1厅,金道花苑  [荔湾-芳村 金光大街],18125,48
万科山景城 东向望花园 82方精致三房 地铁口公立学位,http://guangzhou.anjuke.com/prop/view/A776670778,82,3室2厅,万科山景城  [黄埔-黄埔区府 长岭路],21341,82
富丽广场 精装修温馨2房 业主急卖降价8万 过五年免重税,http://guangzhou.anjuke.com/prop/view/A762050088,73,2室2厅,富丽广场（番禺)  [番禺-大石 大涌路],15068,73
东方名都 地铁口物业 四房东南向 望花园 全新装修,http://guangzhou.anjuke.com/prop/view/A779067248,166,4室2厅,广园东东方名都  [增城-新塘 广园东与新塘出口东洲大道交汇处(碧桂园凤凰城对面)],18674,166
珠江花园 电梯中高层 送家私电器,http://guangzhou.anjuke.com/prop/view/A778012682,101,3室2厅,珠江花园  [番禺-大石 沙溪大道282号],25742,101
时代长岛升 值潜力的区域 带精 装南沙自贸区未来的珠江新城,http://guangzhou.anjuke.com/prop/view/A780413574,95,3室2厅,时代长岛  [南沙-南沙 进港大道377号],16842,95
广州雅居乐花园 新地 南北对流大三房 少税费,http://guangzhou.anjuke.com/prop/view/A779131770,120,3室2厅,广州雅居乐花园  [番禺-广州雅居乐花园 兴南大道398号],37500,120
林海好位置三房两卫出售，高层景观房，新装修，业主急售！！！,http://guangzhou.anjuke.com/prop/view/A765586025,105,3室2厅,保利林海山庄  [天河-龙洞 天源路],36666,105
三水万达广场  首付15万做业主 带学位 业主急售 房保养好,http://guangzhou.anjuke.com/prop/view/A781822188,89,3室2厅,三水万达广场  [广州周边-广州周边 南丰大道与翠云路交界处],8988,89
