楼盘,楼盘链接,地理位置,价格|元/m2
万年·园博墅,http://bj.fang.anjuke.com/loupan/246196.html,丰台 云岗,64000
顺景石上清泉,http://bj.fang.anjuke.com/loupan/263976.html,朝阳 亚奥,81000
金隅翡丽私享匯,http://bj.fang.anjuke.com/loupan/410648.html,海淀 西三旗,45000
金丰能源中心,http://bj.fang.anjuke.com/loupan/412648.html,丰台 科技园区,42000
广州绿地中央广场,http://gz.fang.anjuke.com/loupan/250369.html,黄埔 科学城,18000
东港花园,http://gz.fang.anjuke.com/loupan/239086.html,黄埔 黄埔区府,17500
嘉都汇,http://gz.fang.anjuke.com/loupan/264157.html,花都 区府,22500
保利克洛维,http://gz.fang.anjuke.com/loupan/412862.html,天河 珠江新城,36000
保利红馆,http://gz.fang.anjuke.com/loupan/400586.html,番禺 华南,37000
轩逸荟,http://gz.fang.anjuke.com/loupan/239125.html,花都 狮岭,7500
嘉汇四季阳光,http://gz.fang.anjuke.com/loupan/264158.html,增城 荔城,13000
中国铁建环球中心,http://gz.fang.anjuke.com/loupan/414944.html,南沙 金洲,16000
华筑翡翠湾,http://gz.fang.anjuke.com/loupan/414756.html,番禺 华南,33000
富力金港城,http://gz.fang.anjuke.com/loupan/238689.html,花都 新机场,16000
万科海上传奇,http://gz.fang.anjuke.com/loupan/414227.html,荔湾 芳村,45000
博雅首府,http://gz.fang.anjuke.com/loupan/239021.html,天河 珠江新城,70000
馨晴轩,http://gz.fang.anjuke.com/loupan/250619.html,海珠 江南西,40000
嘉兰轩,http://gz.fang.anjuke.com/loupan/414409.html,越秀 其他,51000
海伦堡流金岁月,http://gz.fang.anjuke.com/loupan/239242.html,番禺 市桥,20000
宏鼎天御江畔,http://gz.fang.anjuke.com/loupan/412134.html,广州周边 佛山,19000
芙蓉春晓,http://gz.fang.anjuke.com/loupan/250257.html,花都 狮岭,8650
中国美林湖,http://gz.fang.anjuke.com/loupan/239166.html,花都 狮岭,8500
富力西溪悦居,http://hz.fang.anjuke.com/loupan/249322.html,余杭 西溪,20000
瑞麒时代,http://hz.fang.anjuke.com/loupan/298110.html,余杭 良渚,10000
东冠逸景花苑,http://hz.fang.anjuke.com/loupan/238477.html,余杭 乔司,10940
海运国际,http://hz.fang.anjuke.com/loupan/241036.html,上城 钱江新城,18939
世茂首府,http://hz.fang.anjuke.com/loupan/238365.html,下沙 沿江,7142
东海橙对,http://hz.fang.anjuke.com/loupan/400784.html,下沙 金沙湖,12000
江南明城金座,http://hz.fang.anjuke.com/loupan/250449.html,萧山 钱江世纪城,12000
佳苑玉都枫景,http://hz.fang.anjuke.com/loupan/238740.html,余杭 良渚,9250
复地上城,http://hz.fang.anjuke.com/loupan/246675.html,余杭 老余杭,20000
富阳宝龙城市广场,http://hz.fang.anjuke.com/loupan/250568.html,杭州周边 富阳,11500
中赢·康康谷,http://hz.fang.anjuke.com/loupan/400889.html,滨江 中兴,22000
万马樱花雅苑,http://hz.fang.anjuke.com/loupan/238825.html,杭州周边 临安,6587
金顺锦绣时代,http://hz.fang.anjuke.com/loupan/238432.html,余杭 老余杭,8019
方正360空间,http://hz.fang.anjuke.com/loupan/238648.html,拱墅 桥西,10909
广厦天都城爱尚公寓,http://hz.fang.anjuke.com/loupan/238850.html,余杭 星桥,7777
福雷德广场,http://hz.fang.anjuke.com/loupan/238383.html,下沙 下沙,10415
郡原蓝湖国际,http://hz.fang.anjuke.com/loupan/249122.html,下沙 金沙湖,8300
万科草庄,http://hz.fang.anjuke.com/loupan/238556.html,江干 市中心,23696
龙湖春江郦城,http://hz.fang.anjuke.com/loupan/251752.html,滨江 西兴,18412
万科紫台,http://hz.fang.anjuke.com/loupan/249136.html,江干 钱江新城,18728
天阳九筑,http://hz.fang.anjuke.com/loupan/238649.html,江干 九堡,15558
瑞金华庭嘉苑,http://hz.fang.anjuke.com/loupan/238950.html,余杭 星桥,7438
东和云第,http://hz.fang.anjuke.com/loupan/246212.html,滨江 浦沿,13386
中粮方圆府,http://hz.fang.anjuke.com/loupan/240988.html,下城 市中心,18000
顺发和美家,http://hz.fang.anjuke.com/loupan/240203.html,萧山 钱江世纪城,21954
湖光山社,http://hz.fang.anjuke.com/loupan/238845.html,杭州周边 临安,7207
科尔南城景园,http://hz.fang.anjuke.com/loupan/240037.html,萧山 临浦,8514
曦华佳苑,http://wh.fang.anjuke.com/loupan/248169.html,武汉周边 鄂州,2850
和昌森林湖,http://wh.fang.anjuke.com/loupan/247716.html,汉阳 王家湾,14000
江尚,http://wh.fang.anjuke.com/loupan/247441.html,武昌 徐东,11000
东方城二期,http://wh.fang.anjuke.com/loupan/247247.html,黄陂 黄陂,5100
ICC汉阳国际公寓,http://wh.fang.anjuke.com/loupan/409260.html,汉阳 四新地区,11000
星海虹城3期鸿玺公馆,http://wh.fang.anjuke.com/loupan/247469.html,洪山 街道口,15500
德福中央城,http://wh.fang.anjuke.com/loupan/252513.html,武汉周边 鄂州,2500
星悦城三期悦彩,http://wh.fang.anjuke.com/loupan/247409.html,江岸 后湖,9100
中建龙城,http://wh.fang.anjuke.com/loupan/247091.html,江夏 江夏,9000
中大长江紫都六期,http://wh.fang.anjuke.com/loupan/249062.html,洪山 白沙洲,8800
绿地国际金融城,http://wh.fang.anjuke.com/loupan/247108.html,武昌 沙湖,18500
菩提苑,http://wh.fang.anjuke.com/loupan/247111.html,江夏 江夏,5344
千晴岸,http://wh.fang.anjuke.com/loupan/247045.html,汉阳 沌口开发区,7865
祥生柏景湾,http://wh.fang.anjuke.com/loupan/247212.html,东西湖 金银湖,6134
美联联邦生活区一期时...,http://wh.fang.anjuke.com/loupan/252737.html,江岸 后湖,10500
东西湖中心广场,http://wh.fang.anjuke.com/loupan/298300.html,东西湖 吴家山,9000
保利公园家,http://wh.fang.anjuke.com/loupan/247448.html,东西湖 金银湖,7300
悦达新天地,http://wh.fang.anjuke.com/loupan/251333.html,青山 红钢城,9600
长投•鹭栖湖,http://wh.fang.anjuke.com/loupan/400529.html,江夏 江夏,11500
中建开元公馆,http://wh.fang.anjuke.com/loupan/249401.html,青山 建二,12000
观湖园一期逸湖半岛,http://wh.fang.anjuke.com/loupan/247450.html,蔡甸 后官湖,8124
南国明珠四期,http://wh.fang.anjuke.com/loupan/251482.html,汉阳 四新地区,11000
圣诚阳光丽景,http://wh.fang.anjuke.com/loupan/249372.html,江岸 后湖,11500
中部慧谷二期,http://wh.fang.anjuke.com/loupan/251717.html,东西湖 金银湖,12000
大江鑫港龙城,http://wh.fang.anjuke.com/loupan/252562.html,汉阳 王家湾,8400
日月山水,http://wh.fang.anjuke.com/loupan/247258.html,黄陂 盘龙城,6707
汉阳人信汇二期天悦,http://wh.fang.anjuke.com/loupan/248476.html,汉阳 王家湾,8837
凤凰水岸公馆,http://wh.fang.anjuke.com/loupan/251452.html,黄陂 盘龙城,5500
七星富利天城,http://wh.fang.anjuke.com/loupan/249393.html,青山 建二,9000
金地格林东郡,http://wh.fang.anjuke.com/loupan/249385.html,东湖高新  光谷北,40000
海赋江城天韵,http://wh.fang.anjuke.com/loupan/252217.html,江岸 后湖,13000
武汉天地御江璟城,http://wh.fang.anjuke.com/loupan/247072.html,江岸 其他,31052
锦绣龙城八期鎏园,http://wh.fang.anjuke.com/loupan/247049.html,洪山 光谷,7857
华享雕墅,http://wh.fang.anjuke.com/loupan/298308.html,江岸 解放公园,10000
汉阳人信汇SOHO,http://wh.fang.anjuke.com/loupan/389634.html,汉阳 王家湾,9800
盘龙新天地,http://wh.fang.anjuke.com/loupan/247317.html,黄陂 盘龙城,4705
华鼎尚都国际,http://wh.fang.anjuke.com/loupan/255195.html,硚口 古田,11500
金湖湾,http://wh.fang.anjuke.com/loupan/252360.html,东西湖 金银湖,7600
新长江香樟林,http://wh.fang.anjuke.com/loupan/247340.html,青山 建二,6718
御才名仕,http://wh.fang.anjuke.com/loupan/263883.html,江岸 解放公园,17300
万锦公馆,http://wh.fang.anjuke.com/loupan/251474.html,江岸 后湖,9500
福星惠誉水岸国际,http://wh.fang.anjuke.com/loupan/247081.html,武昌 沙湖,12868
虹桥1号,http://sh.fang.anjuke.com/loupan/218161.html,闵行 华漕,46000
东滩豫翠苑,http://sh.fang.anjuke.com/loupan/409399.html,崇明 陈家镇,35180
金地都会艺境,http://sh.fang.anjuke.com/loupan/404105.html,松江 新桥,43000
九龙仓滨江壹十八,http://sh.fang.anjuke.com/loupan/383867.html,浦东 陆家嘴滨江,120000
禹洲丁香里,http://sh.fang.anjuke.com/loupan/414065.html,嘉定 嘉定镇,31800
好世凤翔苑,http://sh.fang.anjuke.com/loupan/251164.html,嘉定 南翔,50000
大发融悦,http://sh.fang.anjuke.com/loupan/252871.html,青浦 青浦新城,40000
东原逸墅,http://sh.fang.anjuke.com/loupan/252986.html,浦东 惠南,60000
华润外滩九里,http://sh.fang.anjuke.com/loupan/210672.html,黄浦 董家渡,150000
宝华·城市之星,http://sh.fang.anjuke.com/loupan/412564.html,普陀 光新,98000
阳光城滨江悦,http://sh.fang.anjuke.com/loupan/409299.html,杨浦 东外滩,110000
源昌幸福里,http://sh.fang.anjuke.com/loupan/406102.html,青浦 青浦新城,42000
祈福生活无限,http://gz.fang.anjuke.com/loupan/239259.html,花都 新机场,15714
顺丰翠园,http://gz.fang.anjuke.com/loupan/239372.html,白云 罗冲围,15714
翰林二期8090HOUSE,http://gz.fang.anjuke.com/loupan/245468.html,天河 植物园,24131
富宾星悦国际,http://gz.fang.anjuke.com/loupan/247938.html,番禺 市桥,11006
诺德名都,http://gz.fang.anjuke.com/loupan/241121.html,番禺 华南,17000
邦泰国际公寓,http://gz.fang.anjuke.com/loupan/238878.html,海珠 琶洲,25000
佳润临江上品,http://gz.fang.anjuke.com/loupan/238930.html,天河 员村,31330
东景华庭,http://gz.fang.anjuke.com/loupan/246328.html,增城 新塘,10879
中海云麓公馆,http://gz.fang.anjuke.com/loupan/246643.html,白云 机场路,42517
可逸锦苑,http://gz.fang.anjuke.com/loupan/246239.html,海珠 江南西,19187
鼎信四季花园,http://gz.fang.anjuke.com/loupan/239283.html,花都 区府,10000
东方新世界,http://gz.fang.anjuke.com/loupan/239184.html,天河 天河公园,40000
尚东尚筑,http://gz.fang.anjuke.com/loupan/239139.html,番禺 亚运新城,15000
中海锦榕湾,http://gz.fang.anjuke.com/loupan/238671.html,海珠 工业大道,39669
荔江美筑,http://gz.fang.anjuke.com/loupan/238986.html,荔湾 芳村,21868
朱美拉公寓,http://gz.fang.anjuke.com/loupan/239146.html,天河 珠江新城,39792
柏仑雍禾苑,http://gz.fang.anjuke.com/loupan/239141.html,从化 街口,9523
源海御苑,http://gz.fang.anjuke.com/loupan/241053.html,海珠 工业大道,26000
观海美寓,http://gz.fang.anjuke.com/loupan/239396.html,南沙 南沙湾,9411
宏康东筑,http://gz.fang.anjuke.com/loupan/239115.html,黄埔 其他,10379
力迅时光里,http://gz.fang.anjuke.com/loupan/241081.html,海珠 江南西,32121
星云轩,http://gz.fang.anjuke.com/loupan/245467.html,白云 其他,21774
益兆明珠,http://gz.fang.anjuke.com/loupan/241168.html,海珠 滨江,28119
美力锦颐雅居,http://gz.fang.anjuke.com/loupan/245862.html,花都 区府,10416
富力公园28,http://gz.fang.anjuke.com/loupan/238707.html,天河 珠江新城,32075
骏文雅苑,http://gz.fang.anjuke.com/loupan/239301.html,越秀 北京路,53000
星河湾盛荟,http://gz.fang.anjuke.com/loupan/239900.html,番禺 华南,31678
中房观湖国际,http://gz.fang.anjuke.com/loupan/239096.html,花都 区府,15083
富力唐宁公馆,http://gz.fang.anjuke.com/loupan/239234.html,荔湾 环市西,26378
中城悦城,http://wh.fang.anjuke.com/loupan/383865.html,江汉 王家墩,24500
香水湾,http://wh.fang.anjuke.com/loupan/412260.html,洪山 白沙洲,9500
盘龙理想世家,http://wh.fang.anjuke.com/loupan/415215.html,黄陂 盘龙城,8000
恒大滨江中心,http://wh.fang.anjuke.com/loupan/256973.html,汉阳 四新地区,9500
住开盛世长江,http://wh.fang.anjuke.com/loupan/247375.html,新洲 阳逻,4700
保利城SOHO中心,http://wh.fang.anjuke.com/loupan/411824.html,武昌 徐东,14500
光谷佳园四期绿茵小镇,http://wh.fang.anjuke.com/loupan/298009.html,武汉周边 鄂州,5600
融侨城,http://wh.fang.anjuke.com/loupan/249363.html,武昌 徐东,22820
光谷润园,http://wh.fang.anjuke.com/loupan/250160.html,武汉周边 鄂州,3000
阳光新港中央花园城,http://wh.fang.anjuke.com/loupan/247234.html,新洲 新洲,5500
华茂小米公寓,http://wh.fang.anjuke.com/loupan/248958.html,经济开发区 经济开发区,6400
福星惠誉·榜YOUNG,http://wh.fang.anjuke.com/loupan/412420.html,江岸 后湖,14000
武汉绿地城,http://wh.fang.anjuke.com/loupan/415046.html,汉南 汉南,15000
佳阳翠湖里,http://wh.fang.anjuke.com/loupan/414298.html,新洲 阳逻,5000
阳逻财富广场,http://wh.fang.anjuke.com/loupan/253109.html,新洲 阳逻,6000
汉北广场国际公寓,http://wh.fang.anjuke.com/loupan/298279.html,黄陂 黄陂,6500
光谷永利汇,http://wh.fang.anjuke.com/loupan/414446.html,洪山 光谷,15000
龙山观邸,http://wh.fang.anjuke.com/loupan/251492.html,江夏 江夏,9000
沿海国际中心,http://wh.fang.anjuke.com/loupan/252442.html,东西湖 吴家山,10500
格瑞林跨界,http://wh.fang.anjuke.com/loupan/416186.html,东湖高新  光谷北,11000
江山御墅,http://hz.fang.anjuke.com/loupan/251671.html,杭州周边 桐庐,6500
绿城桃源小镇,http://hz.fang.anjuke.com/loupan/298113.html,余杭 闲林,15000
润和橙家,http://hz.fang.anjuke.com/loupan/249542.html,下沙 大学城北,12000
杭钢•尚堂府,http://hz.fang.anjuke.com/loupan/252114.html,拱墅 上塘,25000
阳光城翡丽湾,http://hz.fang.anjuke.com/loupan/252116.html,江干 丁桥,24500
之江九里,http://hz.fang.anjuke.com/loupan/245849.html,之江 之江,20000
中南白马湖壹号,http://hz.fang.anjuke.com/loupan/252742.html,滨江 长河,26000
万科大家世纪之光,http://hz.fang.anjuke.com/loupan/263930.html,萧山 钱江世纪城,33000
绿都金域东方,http://hz.fang.anjuke.com/loupan/405883.html,萧山 萧山老城,14000
凯全紫郡花苑,http://hz.fang.anjuke.com/loupan/298170.html,杭州周边 桐庐,6800
中豪国际,http://hz.fang.anjuke.com/loupan/410299.html,江干 城东新城,15000
尚美名府,http://hz.fang.anjuke.com/loupan/244412.html,萧山 萧山新城,16500
阳光城普升,http://hz.fang.anjuke.com/loupan/250057.html,江干 城东新城,26000
义蓬购物中心2期,http://hz.fang.anjuke.com/loupan/408640.html,萧山 江东新城,6500
恒瑞名座,http://hz.fang.anjuke.com/loupan/238749.html,萧山 钱江世纪城,9000
天阳文晖,http://hz.fang.anjuke.com/loupan/411067.html,江干 城东新城,33000
合景映月台,http://hz.fang.anjuke.com/loupan/411800.html,余杭 仓前,28000
绿都御景蓝湾,http://hz.fang.anjuke.com/loupan/238690.html,萧山 闻堰,16000
光明尚海湾,http://hz.fang.anjuke.com/loupan/252754.html,萧山 萧山新城,19000
杭州新天地,http://hz.fang.anjuke.com/loupan/238736.html,下城 华丰,28000
农房熙藏,http://sh.fang.anjuke.com/loupan/252105.html,静安 西藏北路,150000
乾潇坊,http://sh.fang.anjuke.com/loupan/251995.html,嘉定 嘉定镇,18000
同济城市雅筑,http://sh.fang.anjuke.com/loupan/240375.html,松江 松江老城,23287
达安圣芭芭花园,http://sh.fang.anjuke.com/loupan/8072.html,松江 新桥,23538
圣地雅歌海墅,http://sh.fang.anjuke.com/loupan/217094.html,奉贤 海湾,18000
东方城市豪苑,http://sh.fang.anjuke.com/loupan/244622.html,浦东 川沙,37389
上坤公园天地,http://sh.fang.anjuke.com/loupan/240336.html,宝山 顾村,30203
毕加索艺墅,http://sh.fang.anjuke.com/loupan/240883.html,浦东 唐镇,40824
汇丰馨苑,http://sh.fang.anjuke.com/loupan/241068.html,金山 朱泾,8408
泰宸雅苑,http://sh.fang.anjuke.com/loupan/239928.html,嘉定 嘉定镇,18750
东方金融广场,http://sh.fang.anjuke.com/loupan/413236.html,浦东 陆家嘴滨江,60000
旭辉亚瑟郡,http://sh.fang.anjuke.com/loupan/249969.html,浦东 周康,33000
恒盛鼎城华公馆,http://sh.fang.anjuke.com/loupan/228152.html,普陀 桃浦,40449
仁恒怡庭,http://sh.fang.anjuke.com/loupan/215475.html,杨浦 新江湾城,65391
天马高尔夫别墅,http://sh.fang.anjuke.com/loupan/8278.html,松江 佘山,32203
慧芝湖花园三期,http://sh.fang.anjuke.com/loupan/200919.html,静安 大宁绿地,65627
棕榈泉花园,http://sh.fang.anjuke.com/loupan/220540.html,浦东 唐镇,53113
铂珏公馆,http://sh.fang.anjuke.com/loupan/248095.html,宝山 罗店,24000
和欣国际花园,http://sh.fang.anjuke.com/loupan/214640.html,宝山 其他,44240
丽江苑,http://sh.fang.anjuke.com/loupan/239895.html,奉贤 南桥,20838
东方环球企业中心,http://sh.fang.anjuke.com/loupan/413235.html,静安 大宁绿地,30000
旭辉识庐,http://sh.fang.anjuke.com/loupan/252550.html,闵行 金虹桥,42952
盛世滨江壹号公馆,http://sh.fang.anjuke.com/loupan/413287.html,黄浦 打浦桥,120000
碧云新天地三期,http://sh.fang.anjuke.com/loupan/215215.html,浦东 其他,54273
九洲大唐花园,http://sh.fang.anjuke.com/loupan/383125.html,松江 九亭,100000
金都虹桥公馆,http://sh.fang.anjuke.com/loupan/400720.html,青浦 赵巷,14000
和源大楼写字楼,http://sh.fang.anjuke.com/loupan/413244.html,静安 大宁绿地,40000
绿舟星城商铺,http://sh.fang.anjuke.com/loupan/410701.html,崇明 陈家镇,12000
水岸上品,http://sh.fang.anjuke.com/loupan/189873.html,嘉定 嘉定新城,15189
南林公寓,http://sh.fang.anjuke.com/loupan/1511.html,徐汇 万体馆,43531
金色贝拉维,http://sh.fang.anjuke.com/loupan/1045.html,长宁 古北,73234
飞航广场,http://sh.fang.anjuke.com/loupan/410504.html,松江 松江老城,35000
金昌苑四期,http://sh.fang.anjuke.com/loupan/248179.html,金山 朱泾,11145
天际蓝桥坊,http://sh.fang.anjuke.com/loupan/410799.html,嘉定 江桥,50000
恒盛湖畔豪庭商铺,http://sh.fang.anjuke.com/loupan/410568.html,奉贤 南桥,28000
御华庭,http://sh.fang.anjuke.com/loupan/189935.html,黄浦 老西门,54097
合景理想家,http://sh.fang.anjuke.com/loupan/413243.html,嘉定 嘉定镇,17000
顺驰蓝湾锦都二期,http://sh.fang.anjuke.com/loupan/189815.html,青浦 青浦新城,18246
中港罗兰小镇,http://hz.fang.anjuke.com/loupan/251911.html,余杭 中泰,12000
远邦嘉裕天城,http://hz.fang.anjuke.com/loupan/240230.html,萧山 瓜沥,7000
滨江锦绣之城,http://hz.fang.anjuke.com/loupan/412457.html,拱墅 申花,47426
金港申悦国际,http://hz.fang.anjuke.com/loupan/298240.html,西湖 申花,16000
北大资源未名府,http://hz.fang.anjuke.com/loupan/411342.html,余杭 仓前,28000
创客空间,http://hz.fang.anjuke.com/loupan/412013.html,余杭 仓前,17000
淮矿东元府,http://hz.fang.anjuke.com/loupan/400023.html,江干 城东新城,31000
仁合银庭,http://hz.fang.anjuke.com/loupan/248003.html,余杭 仁和,8000
奥克斯缔逸城,http://hz.fang.anjuke.com/loupan/252797.html,余杭 勾庄,22000
绿城留香园,http://hz.fang.anjuke.com/loupan/298231.html,江干 钱江新城,50000
首开武林8栋,http://hz.fang.anjuke.com/loupan/252748.html,江干 市中心,30000
御金台国际中心,http://hz.fang.anjuke.com/loupan/298238.html,萧山 钱江世纪城,17000
新城峯璟,http://hz.fang.anjuke.com/loupan/400601.html,余杭 仓前,28000
富力十号院（洋房）,http://hz.fang.anjuke.com/loupan/414354.html,余杭 仓前,27000
绿都南江壹号,http://hz.fang.anjuke.com/loupan/252168.html,萧山 南部卧城,23000
天阳武林邸,http://hz.fang.anjuke.com/loupan/413986.html,拱墅 申花,45000
富力新线公园,http://hz.fang.anjuke.com/loupan/411502.html,余杭 仓前,28500
中海御道路一号,http://hz.fang.anjuke.com/loupan/250056.html,江干 钱江新城,47000
亿星大厦,http://sh.fang.anjuke.com/loupan/413306.html,奉贤 南桥,20000
嘉一智汇,http://sh.fang.anjuke.com/loupan/401224.html,青浦 青浦新城,15000
银湖山庄,http://sh.fang.anjuke.com/loupan/415596.html,上海周边 其他,9000
百联崇明商业广场,http://sh.fang.anjuke.com/loupan/252396.html,崇明 崇明新城,26000
长风中心诚公馆,http://sh.fang.anjuke.com/loupan/413317.html,普陀 长风,65000
Opark 花园办公墅,http://sh.fang.anjuke.com/loupan/413227.html,嘉定 南翔,16500
上海佳程广场,http://sh.fang.anjuke.com/loupan/413278.html,静安 彭浦新村,39000
毓阳东首岸,http://sh.fang.anjuke.com/loupan/413311.html,浦东 临港新城,30000
漕河泾DP-PARK,http://sh.fang.anjuke.com/loupan/413230.html,闵行 浦江,19000
瀛通绿地大厦,http://sh.fang.anjuke.com/loupan/413307.html,黄浦 打浦桥,76000
嘉誉国际广场,http://sh.fang.anjuke.com/loupan/413258.html,杨浦 新江湾城,35000
中意国际,http://sh.fang.anjuke.com/loupan/413321.html,闵行 浦江,20000
中环协信天地,http://sh.fang.anjuke.com/loupan/413319.html,静安 彭浦新村,35000
同润十里洋坊商铺,http://sh.fang.anjuke.com/loupan/410556.html,松江 松江新城,60000
光谷8号工坊二期,http://wh.fang.anjuke.com/loupan/413495.html,东湖高新 光谷南,6000
光谷坐标城九台,http://wh.fang.anjuke.com/loupan/247256.html,洪山 光谷,33000
新长江京华国际,http://wh.fang.anjuke.com/loupan/298332.html,江岸 后湖,15500
人信武胜里,http://wh.fang.anjuke.com/loupan/411799.html,硚口 古田,50000
光谷汇金中心,http://wh.fang.anjuke.com/loupan/413497.html,东湖高新 光谷南,13000
星悦城·星都汇,http://wh.fang.anjuke.com/loupan/414314.html,江岸 后湖,30000
万科锦程商铺,http://wh.fang.anjuke.com/loupan/411326.html,东湖高新  光谷北,45000
凯景国际大厦,http://wh.fang.anjuke.com/loupan/414487.html,硚口 古田,14000
绿地国际金融城写字楼,http://wh.fang.anjuke.com/loupan/413524.html,武昌 沙湖,25000
金岛金桥壹号商铺,http://wh.fang.anjuke.com/loupan/411648.html,江岸 后湖,35000
CFD时代财富中心,http://wh.fang.anjuke.com/loupan/413475.html,江汉 新华路,28000
汉口城市广场商铺,http://wh.fang.anjuke.com/loupan/389802.html,江岸 后湖,25000
奥莱西街,http://wh.fang.anjuke.com/loupan/401029.html,黄陂 盘龙城,25000
三和光谷道商铺,http://wh.fang.anjuke.com/loupan/416192.html,江夏 东湖高新,24000
葛洲坝南大天地,http://wh.fang.anjuke.com/loupan/389796.html,硚口 古田,28000
德成中心写字楼,http://wh.fang.anjuke.com/loupan/413486.html,武昌 武昌老城区,21000
融侨外滩107,http://wh.fang.anjuke.com/loupan/410750.html,硚口 古田,17500
花样年•花样城芝麻唐...,http://wh.fang.anjuke.com/loupan/415622.html,东西湖 金银湖,20000
